order_no,item_name,order_time
007D23010100007330,AROMA BOLD 12,1/1/2023 19:16
007D23010100007330,Aroma Mile 16,1/1/2023 19:16
007D23010100007331,AIR MINERAL RON 88,1/1/2023 19:16
007D23010100007332,Ready Eat ,1/1/2023 20:28
007D23010100007332,AIR MINERAL RON 88,1/1/2023 20:28
007D23010100007333,KOPI ,1/1/2023 20:56
007D23010100007333,CLASS MILD 12,1/1/2023 20:56
007D23010100007334,New Lemon tea ,1/1/2023 21:02
007D23010100007334,Lychee Tea ,1/1/2023 21:02
007D23010100007334,KENTANG ,1/1/2023 21:02
007D23010100007334,JERUK ,1/1/2023 21:02
007D23010100007335,KOPI REMPAH ,1/1/2023 21:13
007D23010100007335,TAHU ,1/1/2023 21:13
007D23010100007335,KOPI ,1/1/2023 21:13
007D23010100007335,KENTANG ,1/1/2023 21:13
007D23010100007336,KOPI ,1/1/2023 21:27
007D23010100007336,KOPI ,1/1/2023 21:27
007D23010100007336,Matcha latte ,1/1/2023 21:27
007D23010100007336,Taro ,1/1/2023 21:27
007D23010100007336,KOPI ,1/1/2023 21:27
007D23010100007336,KENTANG ,1/1/2023 21:27
007D23010100007337,Chocolate Malt ,1/1/2023 21:35
007D23010100007337,SUSU SIRUP ,1/1/2023 21:35
007D23010100007338,KOPI ,1/1/2023 21:37
007D23010100007338,New Red Velvet ,1/1/2023 21:37
007D23010100007339,JOSUA ,1/1/2023 22:08
007D23010100007339,Coffe choco orange ,1/1/2023 22:08
007D23010100007340,TEH ,1/1/2023 22:42
007D23010200007341,JERUK ,1/2/2023 0:34
007D23010200007341,Bintang CRYSTAL ,1/2/2023 0:34
007D23010200007342,Bintang Redler Lemon ,1/2/2023 2:19
007D23010200007342,Bintang CRYSTAL ,1/2/2023 2:19
007D23010200007343,SINGKONG KEJU ,1/2/2023 2:23
007D23010200007343,KOPI ,1/2/2023 2:23
007D23010200007343,TEH ,1/2/2023 2:23
007D23010200007344,NUGGET ,1/2/2023 2:52
007D23010200007344,KENTANG ,1/2/2023 2:52
007D23010200007344,TEH ,1/2/2023 2:52
007D23010200007344,KOPI ,1/2/2023 2:52
007D23010200007345,Ready Eat ,1/2/2023 2:55
007D23010200007346,KOPI ,1/2/2023 7:17
007D23010200007347,KOPI ,1/2/2023 7:24
007D23010200007348,KOPI ,1/2/2023 8:30
007D23010200007348,KOPI ,1/2/2023 8:30
007D23010200007349,TEH ,1/2/2023 8:30
007D23010200007350,KOPI ,1/2/2023 9:22
007D23010200007350,AIR MINERAL RON 88,1/2/2023 9:22
007D23010200007351,KOPI ,1/2/2023 10:13
007D23010200007352,KOPI ,1/2/2023 10:17
007D23010200007352,PANGSIT GORENG ,1/2/2023 10:17
007D23010200007353,Lychee Tea ,1/2/2023 10:52
007D23010200007353,KENTANG ,1/2/2023 10:52
007D23010200007353,KOPI ,1/2/2023 10:52
007D23010200007354,SINGKONG KEJU ,1/2/2023 11:12
007D23010200007355,KOPI ,1/2/2023 11:19
007D23010200007356,KOPI ,1/2/2023 14:13
