order no,item name,,order time,item group,qty
007D23010100007330,AROMA BOLD 12,,1/1/2023 19:16,ROKOK,1
007D23010100007330,Aroma Mile 16,,1/1/2023 19:16,ROKOK,1
007D23010100007331,AIR MINERAL RON 88,,1/1/2023 19:16,BOTOL,1
007D23010100007332,Ready Eat ,,1/1/2023 20:28,MAKANAN,1
007D23010100007332,AIR MINERAL RON 88,,1/1/2023 20:28,BOTOL,1
007D23010100007333,KOPI , SANTAN ,1/1/2023 20:56,KLOTOK SERIES,1
007D23010100007333,CLASS MILD 12,,1/1/2023 20:56,ROKOK,1
007D23010100007334,New Lemon tea ,,1/1/2023 21:02,TROPICAL SERIES,1
007D23010100007334,Lychee Tea ,,1/1/2023 21:02,TROPICAL SERIES,1
007D23010100007334,KENTANG ,,1/1/2023 21:02,SNACK,1
007D23010100007334,JERUK ,,1/1/2023 21:02,MINUMAN,1
007D23010100007335,KOPI REMPAH ,,1/1/2023 21:13,KLOTOK SERIES,2
007D23010100007335,TAHU , WALIK ,1/1/2023 21:13,SNACK,1
007D23010100007335,KOPI , SUSU ,1/1/2023 21:13,KLOTOK SERIES,1
007D23010100007335,KENTANG ,,1/1/2023 21:13,SNACK,1
007D23010100007336,KOPI MILO ,,1/1/2023 21:27,KLOTOK SERIES,1
007D23010100007336,KOPI ,,1/1/2023 21:27,KLOTOK SERIES,1
007D23010100007336,Matcha latte ,,1/1/2023 21:27,TROPICAL SERIES,1
007D23010100007336,Taro ,,1/1/2023 21:27,TROPICAL SERIES,1
007D23010100007336,KOPI , TANPA AMPAS ,1/1/2023 21:27,KLOTOK SERIES,1
007D23010100007336,KENTANG ,,1/1/2023 21:27,SNACK,2
007D23010100007337,Chocolate Malt ,,1/1/2023 21:35,TROPICAL SERIES,1
007D23010100007337,SUSU SIRUP ,,1/1/2023 21:35,MINUMAN,1
007D23010100007338,KOPI ,,1/1/2023 21:37,KLOTOK SERIES,1
007D23010100007338,New Red Velvet ,,1/1/2023 21:37,TROPICAL SERIES,1
007D23010100007339,JOSUA ,,1/1/2023 22:08,MINUMAN,1
007D23010100007339,Coffe choco orange ,,1/1/2023 22:08,MINUMAN,1
007D23010100007340,TEH ,,1/1/2023 22:42,MINUMAN,3
007D23010200007341,JERUK ,,1/2/2023 0:34,MINUMAN,1
007D23010200007341,Bintang CRYSTAL ,,1/2/2023 0:34,MINUMAN,1
007D23010200007342,Bintang Redler Lemon ,,1/2/2023 2:19,MINUMAN,1
007D23010200007342,Bintang CRYSTAL ,,1/2/2023 2:19,MINUMAN,1
007D23010200007343,SINGKONG KEJU ,,1/2/2023 2:23,SNACK,1
007D23010200007343,KOPI , TANPA AMPAS ,1/2/2023 2:23,KLOTOK SERIES,1
007D23010200007343,TEH ,,1/2/2023 2:23,MINUMAN,1
007D23010200007344,NUGGET ,,1/2/2023 2:52,SNACK,1
007D23010200007344,KENTANG ,,1/2/2023 2:52,SNACK,1
007D23010200007344,TEH ,,1/2/2023 2:52,MINUMAN,1
007D23010200007344,KOPI , TANPA AMPAS ,1/2/2023 2:52,KLOTOK SERIES,1
007D23010200007345,Ready Eat ,,1/2/2023 2:55,MAKANAN,1
007D23010200007346,KOPI , TANPA AMPAS ,1/2/2023 7:17,KLOTOK SERIES,1
007D23010200007347,KOPI ,,1/2/2023 7:24,KLOTOK SERIES,2
007D23010200007348,KOPI , TANPA AMPAS ,1/2/2023 8:30,KLOTOK SERIES,1
007D23010200007348,KOPI ,,1/2/2023 8:30,KLOTOK SERIES,1
007D23010200007349,TEH ,,1/2/2023 8:30,MINUMAN,1
007D23010200007350,KOPI ,,1/2/2023 9:22,KLOTOK SERIES,1
007D23010200007350,AIR MINERAL RON 88,,1/2/2023 9:22,BOTOL,1
007D23010200007351,KOPI ,,1/2/2023 10:13,KLOTOK SERIES,1
007D23010200007352,KOPI , TANPA AMPAS ,1/2/2023 10:17,KLOTOK SERIES,1
007D23010200007352,PANGSIT GORENG ,,1/2/2023 10:17,SNACK,1
007D23010200007353,Lychee Tea ,,1/2/2023 10:52,TROPICAL SERIES,1
007D23010200007353,KENTANG ,,1/2/2023 10:52,SNACK,1
007D23010200007353,KOPI , SANTAN ,1/2/2023 10:52,KLOTOK SERIES,1
007D23010200007354,SINGKONG KEJU ,,1/2/2023 11:12,SNACK,1
007D23010200007355,KOPI , TANPA AMPAS ,1/2/2023 11:19,KLOTOK SERIES,1
007D23010200007356,KOPI , CREAMER ,1/2/2023 14:13,KLOTOK SERIES,1
007D23010200007356,KOPI , TANPA AMPAS ,1/2/2023 14:13,KLOTOK SERIES,1
007D23010200007356,KENTANG ,,1/2/2023 14:13,SNACK,1
007D23010200007356,PISANG GORENG CRISPY ,,1/2/2023 14:13,SNACK,1
007D23010200007357,KENTANG ,,1/2/2023 14:47,SNACK,1
007D23010200007357,KOPI , TANPA AMPAS ,1/2/2023 14:47,KLOTOK SERIES,1
007D23010200007358,KOPI , TANPA AMPAS ,1/2/2023 14:50,KLOTOK SERIES,1
007D23010200007359,KOPI ,,1/2/2023 15:24,KLOTOK SERIES,1
007D23010200007359,KOPI , TANPA AMPAS ,1/2/2023 15:24,KLOTOK SERIES,1
007D23010200007359,KENTANG ,,1/2/2023 15:24,SNACK,1
007D23010200007360,KOPI , TANPA AMPAS ,1/2/2023 17:31,KLOTOK SERIES,1
007D23010200007361,JOSUA ,,1/2/2023 17:33,MINUMAN,2
007D23010200007362,KENTANG ,,1/2/2023 17:36,SNACK,1
007D23010200007363,KOPI ,,1/2/2023 17:39,KLOTOK SERIES,1
007D23010200007363,TEH ,,1/2/2023 17:39,MINUMAN,1
007D23010200007364,KOPI , COKLAT ,1/2/2023 18:09,KLOTOK SERIES,1
007D23010200007364,KOPI ,,1/2/2023 18:09,KLOTOK SERIES,1
007D23010200007364,Aroma Mile 16,,1/2/2023 18:09,ROKOK,1
007D23010200007365,ICI OCHA ,,1/2/2023 19:03,BOTOL,1
007D23010200007366,COFFE BEER RTD ,,1/2/2023 19:28,MINUMAN,1
007D23010200007366,Matcha latte ,,1/2/2023 19:28,TROPICAL SERIES,1
007D23010200007367,KOPI , COKLAT ,1/2/2023 19:40,KLOTOK SERIES,1
007D23010200007367,KOPI ,,1/2/2023 19:40,KLOTOK SERIES,1
007D23010200007368,Ready Eat ,,1/2/2023 20:26,MAKANAN,2
007D23010200007368,JOSUA ,,1/2/2023 20:26,MINUMAN,2
007D23010200007369,JOSUA ,,1/2/2023 20:49,MINUMAN,1
007D23010200007369,JAHE , SUSU ,1/2/2023 20:49,MINUMAN,1
007D23010200007369,KENTANG ,,1/2/2023 20:49,SNACK,1
007D23010200007369,PANGSIT GORENG ,,1/2/2023 20:49,SNACK,1
007D23010200007369,AIR MINERAL RON 88,,1/2/2023 20:49,BOTOL,1
007D23010200007369,Bintang CRYSTAL ,,1/2/2023 20:49,MINUMAN,1
007D23010200007370,KOPI , SUSU ,1/2/2023 21:31,KLOTOK SERIES,1
007D23010200007371,KOPI , SUSU ,1/2/2023 22:09,KLOTOK SERIES,1
007D23010200007372,KOPI ,,1/2/2023 22:27,KLOTOK SERIES,1
007D23010200007372,KOPI , TANPA AMPAS ,1/2/2023 22:27,KLOTOK SERIES,1
007D23010200007373,TEH ,,1/2/2023 22:39,MINUMAN,1
007D23010200007373,TAHU , BAKSO ,1/2/2023 22:39,MAKANAN,1
007D23010200007373,DANCOW COKLAT ,,1/2/2023 22:39,MINUMAN,1
007D23010200007373,Ready Eat ,,1/2/2023 22:39,MAKANAN,1
007D23010200007374,KOPI , TANPA AMPAS ,1/2/2023 22:45,KLOTOK SERIES,1
007D23010300007375,KACANG BAWANG,,1/3/2023 0:45,SNACK,1
007D23010300007376,TEH ,,1/3/2023 1:54,MINUMAN,1
007D23010300007376,DANCOW PUTIH ,,1/3/2023 1:54,MINUMAN,1
007D23010300007377,KOPI , TANPA AMPAS ,1/3/2023 7:16,KLOTOK SERIES,1
007D23010300007378,KOPI ,,1/3/2023 8:36,KLOTOK SERIES,1
007D23010300007379,KOPI , SUSU ,1/3/2023 8:41,KLOTOK SERIES,1
007D23010300007380,KOPI , TANPA AMPAS ,1/3/2023 9:10,KLOTOK SERIES,1
007D23010300007381,TEH ,,1/3/2023 10:10,MINUMAN,1
007D23010300007382,KOPI , SUSU ,1/3/2023 10:27,KLOTOK SERIES,2
007D23010300007382,PANGSIT GORENG ,,1/3/2023 10:27,SNACK,1
007D23010300007383,SUSU SODA ,,1/3/2023 10:30,MINUMAN,1
007D23010300007384,KOPI , SUSU ,1/3/2023 10:45,KLOTOK SERIES,1
007D23010300007385,NASI GORENG ,,1/3/2023 13:15,MAKANAN,1
007D23010300007385,KENTANG ,,1/3/2023 13:15,SNACK,1
007D23010300007385,PISANG GORENG CRISPY ,,1/3/2023 13:15,SNACK,1
007D23010300007385,NUGGET ,,1/3/2023 13:15,SNACK,1
007D23010300007385,Coffe choco orange ,,1/3/2023 13:15,MINUMAN,1
007D23010300007385,TEH ,,1/3/2023 13:15,MINUMAN,1
007D23010300007385,Chocolate Malt ,,1/3/2023 13:15,TROPICAL SERIES,1
007D23010300007386,KOPI , COKLAT ,1/3/2023 13:18,KLOTOK SERIES,1
007D23010300007386,TEH ,,1/3/2023 13:18,MINUMAN,1
007D23010300007387,SODA GEMBIRA ,,1/3/2023 13:19,MINUMAN,1
007D23010300007387,KENTANG ,,1/3/2023 13:19,SNACK,1
007D23010300007387,PISANG GORENG CRISPY ,,1/3/2023 13:19,SNACK,1
007D23010300007388,KOPI , TANPA AMPAS ,1/3/2023 13:21,KLOTOK SERIES,1
007D23010300007388,KOPI ,,1/3/2023 13:21,KLOTOK SERIES,1
007D23010300007389,KOPI , TANPA AMPAS ,1/3/2023 13:31,KLOTOK SERIES,5
007D23010300007389,DANCOW COKLAT ,,1/3/2023 13:31,MINUMAN,1
007D23010300007389,AIR MINERAL RON 88,,1/3/2023 13:31,BOTOL,6
007D23010300007389,KOPI ,,1/3/2023 13:31,KLOTOK SERIES,1
007D23010300007389,Ready Eat ,,1/3/2023 13:31,MAKANAN,1
007D23010300007389,Ready Eat ,,1/3/2023 13:31,MAKANAN,4
007D23010300007389,Ready Eat ,,1/3/2023 13:31,MAKANAN,2
007D23010300007389,KOPI , COKLAT ,1/3/2023 13:31,KLOTOK SERIES,1
007D23010300007389,TEH ,,1/3/2023 13:31,MINUMAN,3
007D23010300007389,NASI GORENG ,,1/3/2023 13:31,MAKANAN,9
007D23010300007389,Ready Eat ,,1/3/2023 13:31,MAKANAN,3
007D23010300007389,Ready Eat ,,1/3/2023 13:31,MAKANAN,3
007D23010300007389,Ready Eat ,,1/3/2023 13:31,MAKANAN,2
007D23010300007389,KOPI , SUSU ,1/3/2023 13:31,KLOTOK SERIES,2
007D23010300007389,KOPI REMPAH ,,1/3/2023 13:31,KLOTOK SERIES,1
007D23010300007389,SODA GEMBIRA ,,1/3/2023 13:31,MINUMAN,2
007D23010300007389,TEH ,,1/3/2023 13:31,MINUMAN,1
007D23010300007389,JERUK ,,1/3/2023 13:31,MINUMAN,1
007D23010300007389,Cappucino Latte ,,1/3/2023 13:31,TROPICAL SERIES,1
007D23010300007389,KOPI , COKLAT ,1/3/2023 13:31,KLOTOK SERIES,1
007D23010300007389,JAHE , SUSU ,1/3/2023 13:31,MINUMAN,1
007D23010300007391,Bintang Redler Lemon ,,1/3/2023 13:45,MINUMAN,1
007D23010300007391,COFFE BEER RTD ,,1/3/2023 13:45,MINUMAN,1
007D23010300007391,AIR MINERAL RON 88,,1/3/2023 13:45,BOTOL,1
007D23010300007391,CIRENG ,,1/3/2023 13:45,SNACK,1
007D23010300007391,PISANG GORENG CRISPY ,,1/3/2023 13:45,SNACK,1
007D23010300007392,NASI GORENG ,,1/3/2023 14:21,MAKANAN,1
007D23010300007393,TEH ,,1/3/2023 14:25,MINUMAN,1
007D23010300007393,Royal Chocolate ,,1/3/2023 14:25,TROPICAL SERIES,1
007D23010300007393,KENTANG ,,1/3/2023 14:25,SNACK,1
007D23010300007394,KOPI ,,1/3/2023 15:40,KLOTOK SERIES,1
007D23010300007394,KOPI , SANTAN ,1/3/2023 15:40,KLOTOK SERIES,1
007D23010300007394,AIR MINERAL RON 88,,1/3/2023 15:40,BOTOL,1
007D23010300007394,SINGKONG KEJU ,,1/3/2023 15:40,SNACK,1
007D23010300007395,Aroma Mile 16,,1/3/2023 15:42,ROKOK,1
007D23010300007396,AROMA BOLD 12,,1/3/2023 15:43,ROKOK,1
007D23010300007396,AIR MINERAL RON 88,,1/3/2023 15:43,BOTOL,1
007D23010300007397,62 ( noms snack 2000 ),,1/3/2023 16:17,SNACK,2
007D23010300007398,TEH ,,1/3/2023 16:57,MINUMAN,1
007D23010300007398,62 ( noms snack 2000 ),,1/3/2023 16:57,SNACK,2
007D23010300007399,JOSUA ,,1/3/2023 17:10,MINUMAN,1
007D23010300007399,AIR MINERAL RON 88,,1/3/2023 17:10,BOTOL,1
007D23010300007400,PANGSIT GORENG ,,1/3/2023 17:32,SNACK,1
007D23010300007400,SUSU SIRUP ,,1/3/2023 17:32,MINUMAN,1
007D23010300007400,CIRENG ,,1/3/2023 17:32,SNACK,1
007D23010300007400,AIR MINERAL RON 88,,1/3/2023 17:32,BOTOL,1
007D23010300007401,Bintang CRYSTAL ,,1/3/2023 17:33,MINUMAN,1
007D23010300007402,KOPI , COKLAT ,1/3/2023 17:48,KLOTOK SERIES,3
007D23010300007402,KOPI , SUSU ,1/3/2023 17:48,KLOTOK SERIES,1
007D23010300007402,KENTANG ,,1/3/2023 17:48,SNACK,1
007D23010300007402,CIRENG ,,1/3/2023 17:48,SNACK,1
007D23010300007403,SINGKONG KEJU ,,1/3/2023 18:19,SNACK,1
